date,n1,n2,n3,n4,n5,n6,superzahl
2000-12-30,2,5,7,17,27,47,4
2001-01-03,13,19,21,34,36,46,2
2001-01-06,8,12,17,26,37,42,6
2001-01-10,3,4,15,24,27,28,2
2001-01-13,4,6,28,31,37,46,4
2001-01-17,11,12,20,43,45,49,4
2001-01-20,1,3,28,47,48,49,2
2001-01-24,6,7,9,18,38,46,9
2001-01-27,2,12,13,38,40,43,4
2001-01-31,14,16,19,24,30,33,3
2001-02-03,3,12,15,28,35,37,2
2001-02-07,1,5,10,26,31,40,8
2001-02-10,32,34,39,41,42,44,0
2001-02-14,2,25,26,31,34,48,6
2001-02-17,12,13,16,21,33,49,9
2001-02-21,4,5,10,22,25,26,4
2001-02-24,4,21,23,29,47,48,9
2001-02-28,16,23,30,33,38,49,0
2001-03-03,9,34,41,42,43,46,2
2001-03-07,1,6,17,29,32,44,6
2001-03-10,10,15,21,25,38,48,7
2001-03-14,22,26,32,38,39,45,4
2001-03-17,5,25,33,41,44,49,5
2001-03-21,11,22,26,28,45,49,9
2001-03-24,9,11,30,36,45,49,2
2001-03-28,14,19,24,25,31,41,9
2001-03-31,2,10,14,15,28,44,0
2001-04-04,4,12,21,22,24,31,6
2001-04-07,3,9,33,36,37,38,3
2001-04-11,4,12,24,28,33,36,2
2001-04-14,2,9,11,21,24,42,7
2001-04-18,1,6,17,19,29,48,6
2001-04-21,2,7,18,25,27,48,8
2001-04-25,9,13,20,26,31,42,8
2001-04-28,3,7,14,33,35,38,3
2001-05-02,2,12,14,24,31,44,1
2001-05-05,29,36,41,42,44,49,5
2001-05-09,4,16,17,26,30,36,3
2001-05-12,1,7,28,29,31,46,9
2001-05-16,2,16,19,23,33,35,7
2001-05-19,1,9,10,11,15,34,1
2001-05-23,13,15,31,40,44,46,2
2001-05-26,2,8,13,22,42,43,1
2001-05-30,16,26,27,35,47,48,3
2001-06-02,8,13,23,34,35,39,1
2001-06-06,8,9,26,34,42,47,6
2001-06-09,2,6,15,31,48,49,3
2001-06-13,6,15,17,20,34,41,5
2001-06-16,4,17,22,25,32,36,3
2001-06-20,1,2,5,8,25,27,9
2001-06-23,6,18,29,35,40,42,6
2001-06-27,13,17,20,24,27,47,2
2001-06-30,6,12,14,16,27,43,9
2001-07-04,2,17,31,34,37,43,7
2001-07-07,11,22,37,39,40,42,3
2001-07-11,1,8,12,27,39,45,7
2001-07-14,6,18,22,23,31,38,5
2001-07-18,11,12,31,34,44,45,5
2001-07-21,21,25,33,37,38,44,1
2001-07-25,6,12,13,32,37,39,2
2001-07-28,2,6,18,22,23,27,9
2001-08-01,9,30,32,34,41,48,6
2001-08-04,6,10,17,29,35,47,5
2001-08-08,10,17,20,22,40,41,8
2001-08-11,2,14,22,24,28,34,6
2001-08-15,10,11,23,31,35,47,4
2001-08-18,6,7,12,26,29,44,7
2001-08-22,3,11,25,35,36,48,8
2001-08-25,2,15,28,30,32,41,7
2001-08-29,6,16,22,28,34,35,2
2001-09-01,1,6,25,27,35,38,8
2001-09-05,1,9,25,33,38,44,1
2001-09-08,2,4,6,12,28,40,5
2001-09-12,4,18,23,26,43,44,5
2001-09-15,12,19,26,27,33,38,9
2001-09-19,4,10,23,24,25,30,8
2001-09-22,12,28,32,33,36,48,1
2001-09-26,1,17,21,23,28,46,8
2001-09-29,8,20,23,27,28,41,3
2001-10-03,11,17,20,33,43,49,7
2001-10-06,6,9,25,30,41,42,9
2001-10-10,7,33,37,41,47,49,1
2001-10-13,2,9,10,15,25,38,4
2001-10-17,7,23,34,35,37,42,9
2001-10-20,3,8,11,37,40,42,0
2001-10-24,4,26,27,32,40,48,1
2001-10-27,4,18,22,23,27,37,4
2001-10-31,11,18,23,26,36,38,8
2001-11-03,3,5,7,24,26,42,0
2001-11-07,3,4,7,10,17,22,0
2001-11-10,2,14,15,16,20,26,9
2001-11-14,2,3,15,22,27,42,1
2001-11-17,1,2,4,30,38,40,7
2001-11-21,14,25,34,43,44,46,3
2001-11-24,7,20,26,30,40,42,8
2001-11-28,7,22,25,36,37,48,0
2001-12-01,2,10,33,37,40,41,3
2001-12-05,3,5,18,25,46,48,8
2001-12-08,1,4,20,29,33,35,9
2001-12-12,1,15,19,30,40,47,3
2001-12-15,19,27,31,39,40,44,2
2001-12-19,1,19,24,43,44,46,8
2001-12-22,12,18,25,47,48,49,6
2001-12-26,2,22,23,28,40,49,7
2001-12-29,2,8,11,44,46,48,9
2002-01-02,13,21,25,34,35,46,1
2002-01-05,12,24,27,29,43,49,1
2002-01-09,4,24,37,39,43,47,8
2002-01-12,3,11,13,25,30,37,7
2002-01-16,19,22,25,26,28,42,3
2002-01-19,2,8,16,20,42,46,6
2002-01-23,21,31,32,34,38,46,6
2002-01-26,1,11,12,26,42,47,0
2002-01-30,7,13,29,39,42,46,6
2002-02-02,3,18,27,31,36,47,3
2002-02-06,6,18,25,33,34,45,3
2002-02-09,7,10,21,31,41,45,1
2002-02-13,1,5,6,11,17,45,4
2002-02-16,1,8,9,29,33,48,1
2002-02-20,2,11,22,25,38,40,6
2002-02-23,7,22,23,38,47,49,8
2002-02-27,4,17,25,32,37,45,5
2002-03-02,4,20,28,30,47,49,5
2002-03-06,7,11,22,25,33,44,1
2002-03-09,4,5,38,40,43,44,5
2002-03-13,30,31,32,33,37,43,7
2002-03-16,2,7,25,27,39,44,9
2002-03-20,4,9,13,35,40,44,6
2002-03-23,10,15,17,18,47,48,8
2002-03-27,1,5,8,27,36,48,6
2002-03-30,4,8,37,38,43,44,7
2002-04-03,8,13,16,20,33,37,0
2002-04-06,5,7,17,23,24,46,1
2002-04-10,9,13,16,18,38,41,7
2002-04-13,9,18,27,29,33,36,9
2002-04-17,3,4,13,34,43,47,5
2002-04-20,6,7,11,39,42,49,9
2002-04-24,4,15,42,43,46,48,9
2002-04-27,1,6,8,10,21,42,2
2002-05-01,1,8,11,22,26,42,0
2002-05-04,32,34,38,39,47,49,8
2002-05-08,4,35,36,38,43,46,9
2002-05-11,14,16,29,40,43,46,8
2002-05-15,13,23,26,27,34,46,6
2002-05-18,9,15,34,38,43,44,4
2002-05-22,4,8,21,25,33,41,7
2002-05-25,1,5,7,19,22,31,3
2002-05-29,1,5,7,14,22,42,6
2002-06-01,3,7,11,18,36,48,7
2002-06-05,16,25,28,41,44,47,4
2002-06-08,6,11,28,34,38,46,7
2002-06-12,17,23,29,36,41,43,6
2002-06-15,5,16,23,36,37,39,2
2002-06-19,13,14,30,37,41,42,1
2002-06-22,7,8,10,18,27,49,6
2002-06-26,11,21,32,41,42,46,4
2002-06-29,5,6,25,29,30,44,4
2002-07-03,7,9,12,13,14,49,5
2002-07-06,6,13,16,19,39,45,8
2002-07-10,4,17,25,40,47,48,2
2002-07-13,1,2,21,30,36,43,5
2002-07-17,14,21,26,27,28,39,4
2002-07-20,3,11,24,31,34,36,3
2002-07-24,11,12,18,19,41,42,6
2002-07-27,8,10,26,39,40,41,9
2002-07-31,4,12,16,26,34,40,0
2002-08-03,5,7,18,26,27,44,8
2002-08-07,4,9,14,38,41,45,4
2002-08-10,9,10,13,26,31,34,2
2002-08-14,1,11,18,22,26,31,3
2002-08-17,4,5,7,20,29,44,2
2002-08-21,9,15,22,26,34,41,0
2002-08-24,3,16,19,25,27,34,4
2002-08-28,13,22,34,36,37,44,7
2002-08-31,21,35,39,40,41,43,2
2002-09-04,27,29,34,38,41,44,5
2002-09-07,16,17,18,19,29,37,6
2002-09-11,12,23,24,25,28,45,1
2002-09-14,8,20,23,27,30,39,4
2002-09-18,20,24,25,37,39,49,1
2002-09-21,8,11,14,36,37,48,9
2002-09-25,3,4,7,25,36,38,5
2002-09-28,6,10,12,28,29,40,0
2002-10-02,4,18,21,27,38,46,9
2002-10-05,1,11,26,30,33,39,5
2002-10-09,7,19,31,34,37,42,3
2002-10-12,6,7,12,16,17,35,0
2002-10-16,9,11,21,25,37,40,2
2002-10-19,1,21,28,34,42,43,5
2002-10-23,1,5,13,14,31,37,7
2002-10-26,15,16,30,34,41,43,4
2002-10-30,7,25,30,31,34,49,6
2002-11-02,5,7,17,30,34,44,8
2002-11-06,21,23,29,33,43,44,4
2002-11-09,1,24,27,32,38,43,6
2002-11-13,6,8,19,26,34,47,5
2002-11-16,3,7,13,14,24,44,4
2002-11-20,22,24,26,31,40,49,5
2002-11-23,12,16,32,34,43,44,3
2002-11-27,18,21,23,32,39,44,3
2002-11-30,7,9,10,11,43,47,7
2002-12-04,3,6,9,26,30,46,1
2002-12-07,6,8,9,24,34,40,1
2002-12-11,9,11,23,32,33,39,3
2002-12-14,3,6,13,17,22,38,2
2002-12-18,24,30,36,37,44,48,4
2002-12-21,11,12,19,22,41,48,8
2002-12-25,6,14,17,25,34,49,6
2002-12-28,13,17,24,27,35,42,4
2003-01-01,11,14,36,41,42,45,2
2003-01-04,6,17,18,19,24,44,6
2003-01-08,2,27,30,31,32,37,5
2003-01-11,9,12,32,38,43,48,7
2003-01-15,3,5,29,37,42,49,0
2003-01-18,6,17,35,39,41,49,8
2003-01-22,2,14,19,27,40,44,2
2003-01-25,6,9,13,18,37,47,9
2003-01-29,24,27,30,33,35,47,6
2003-02-01,20,36,38,43,44,47,7
2003-02-05,8,11,12,23,35,47,6
2003-02-08,8,25,32,33,38,48,9
2003-02-12,10,31,33,35,41,42,7
2003-02-15,4,6,12,18,24,30,4
2003-02-19,19,23,24,34,40,43,5
2003-02-22,8,22,23,31,35,49,5
2003-02-26,10,11,14,17,19,39,9
2003-03-01,10,14,18,30,40,45,8
2003-03-05,4,20,26,36,43,49,0
2003-03-08,12,14,17,39,45,46,7
2003-03-12,6,7,19,33,34,37,5
2003-03-15,7,13,33,42,46,47,6
2003-03-19,9,16,20,23,33,37,1
2003-03-22,17,28,36,44,45,47,7
2003-03-26,15,16,25,32,37,44,7
2003-03-29,14,16,18,22,43,46,5
2003-04-02,1,14,16,17,19,21,9
2003-04-05,1,3,9,19,42,47,1
2003-04-09,5,11,17,20,39,48,3
2003-04-12,13,14,27,32,34,40,1
2003-04-16,4,5,8,34,35,42,6
2003-04-19,3,4,10,16,31,46,1
2003-04-23,5,6,9,14,25,46,7
2003-04-26,8,17,24,26,31,45,9
2003-04-30,17,22,23,26,30,45,7
2003-05-03,5,14,23,32,41,48,3
2003-05-07,9,12,13,25,29,33,2
2003-05-10,7,9,11,13,20,38,4
2003-05-14,15,25,28,38,40,45,6
2003-05-17,1,10,22,35,37,44,3
2003-05-21,10,19,28,29,33,35,2
2003-05-24,3,14,15,28,33,46,5
2003-05-28,8,20,31,39,40,46,5
2003-05-31,12,21,24,26,29,38,1
2003-06-04,3,11,32,34,36,43,5
2003-06-07,2,34,37,38,41,44,7
2003-06-11,6,20,22,31,38,49,9
2003-06-14,2,5,21,23,38,48,1
2003-06-18,10,12,13,24,37,41,5
2003-06-21,17,19,23,26,34,47,8
2003-06-25,5,10,11,27,39,48,3
2003-06-28,9,13,14,16,28,47,0
2003-07-02,1,14,20,29,45,46,2
2003-07-05,2,8,10,39,45,46,6
2003-07-09,2,7,9,36,42,46,6
2003-07-12,4,5,21,25,28,47,5
2003-07-16,5,10,15,23,29,33,8
2003-07-19,15,18,24,28,30,44,1
2003-07-23,2,15,17,41,42,49,6
2003-07-26,6,7,18,31,36,37,8
2003-07-30,8,17,37,39,40,45,6
2003-08-02,1,2,3,12,15,21,3
2003-08-06,7,17,25,35,38,45,6
2003-08-09,1,2,11,12,31,34,8
2003-08-13,3,6,9,18,27,48,5
2003-08-16,4,12,14,17,38,45,6
2003-08-20,24,38,42,44,45,48,5
2003-08-23,2,6,7,15,31,34,6
2003-08-27,5,8,19,23,35,48,0
2003-08-30,7,19,25,33,42,49,7
2003-09-03,4,5,9,16,18,43,6
2003-09-06,4,8,15,16,18,26,9
2003-09-10,17,19,20,35,40,48,3
2003-09-13,11,18,19,22,25,42,2
2003-09-17,3,13,23,34,35,48,5
2003-09-20,3,11,26,27,34,47,8
2003-09-24,17,20,22,25,43,46,6
2003-09-27,7,17,35,39,40,44,5
2003-10-01,5,9,14,18,32,38,4
2003-10-04,11,16,19,25,30,49,1
2003-10-08,8,15,16,34,40,46,3
2003-10-11,7,28,31,33,35,47,6
2003-10-15,1,4,24,31,32,33,4
2003-10-18,4,15,32,35,37,41,0
2003-10-22,1,6,8,19,26,44,3
2003-10-25,24,25,27,35,38,49,9
2003-10-29,9,11,20,25,43,47,8
2003-11-01,4,18,21,22,32,43,5
2003-11-05,8,10,13,27,32,48,6
2003-11-08,16,27,31,41,44,47,9
2003-11-12,10,14,25,36,41,46,0
2003-11-15,4,19,22,33,36,38,8
2003-11-19,5,10,18,27,32,39,6
2003-11-22,5,8,25,31,37,39,8
2003-11-26,5,26,27,28,29,37,2
2003-11-29,4,8,28,31,48,49,7
2003-12-03,9,16,18,41,47,48,4
2003-12-06,20,24,33,35,41,43,2
2003-12-10,1,9,15,24,30,43,5
2003-12-13,5,11,26,29,30,44,9
2003-12-17,5,11,14,20,39,40,3
2003-12-20,2,24,30,31,37,43,5
2003-12-24,4,6,9,14,27,31,4
2003-12-27,7,17,24,35,36,40,0
2003-12-31,4,6,22,31,39,47,8
2004-01-03,5,15,16,37,41,48,7
2004-01-07,10,12,24,44,45,49,7
2004-01-10,9,13,14,33,42,45,9
2004-01-14,5,17,19,21,23,28,7
2004-01-17,20,28,34,35,40,49,0
2004-01-21,5,22,29,30,33,49,4
2004-01-24,9,12,14,20,26,48,4
2004-01-28,15,17,18,27,33,38,2
2004-01-31,16,22,30,32,48,49,6
2004-02-04,1,2,16,21,31,41,4
2004-02-07,14,17,20,23,26,28,1
2004-02-11,4,17,27,28,34,39,9
2004-02-14,23,25,32,35,37,46,8
2004-02-18,20,27,30,40,46,48,3
2004-02-21,5,9,14,28,38,49,1
2004-02-25,5,11,13,21,28,49,4
2004-02-28,1,6,18,24,29,38,5
2004-03-03,20,22,29,44,46,49,7
2004-03-06,1,3,24,37,38,46,4
2004-03-10,4,8,17,38,40,47,2
2004-03-13,6,20,21,28,32,48,9
2004-03-17,1,12,15,21,29,34,4
2004-03-20,3,10,16,24,27,32,4
2004-03-24,3,8,9,11,31,44,6
2004-03-27,26,28,30,40,47,49,0
2004-03-31,13,20,22,23,25,35,4
2004-04-03,1,2,10,16,30,43,3
2004-04-07,4,6,10,33,34,45,4
2004-04-10,3,5,25,43,47,49,6
2004-04-14,4,12,13,38,43,47,1
2004-04-17,18,24,26,29,32,33,8
2004-04-21,1,3,32,33,46,47,1
2004-04-24,1,13,30,33,37,40,3
2004-04-28,25,29,34,43,45,48,6
2004-05-01,8,9,22,27,29,49,6
2004-05-05,6,12,25,31,41,46,8
2004-05-08,4,11,33,37,43,44,7
2004-05-12,5,7,13,23,28,38,7
2004-05-15,3,8,23,29,32,34,1
2004-05-19,3,13,19,24,27,44,7
2004-05-22,5,18,26,31,43,44,7
2004-05-26,8,12,17,21,35,40,0
2004-05-29,3,4,14,18,24,40,8
2004-06-02,10,17,32,38,41,43,4
2004-06-05,15,19,31,34,41,44,7
2004-06-09,5,11,16,28,32,40,4
2004-06-12,3,6,12,13,30,36,9
2004-06-16,2,11,14,22,34,47,7
2004-06-19,19,22,26,27,31,40,4
2004-06-23,8,13,14,19,39,44,4
2004-06-26,18,30,31,33,35,40,2
2004-06-30,6,8,15,27,33,34,9
2004-07-03,4,16,17,20,36,49,5
2004-07-07,4,11,12,26,41,45,8
2004-07-10,2,4,31,39,40,46,5
2004-07-14,6,7,8,34,42,48,4
2004-07-17,10,23,24,25,27,41,0
2004-07-21,10,11,38,43,45,47,0
2004-07-24,2,9,13,27,37,48,0
2004-07-28,3,13,30,35,41,49,3
2004-07-31,3,6,9,33,44,48,5
2004-08-04,8,17,19,33,43,45,3
2004-08-07,5,7,26,35,39,45,6
2004-08-11,12,18,23,27,32,46,4
2004-08-14,3,12,37,40,48,49,1
2004-08-18,5,7,8,14,23,33,2
2004-08-21,1,6,21,27,31,47,0
2004-08-25,2,5,13,19,30,47,9
2004-08-28,1,12,21,31,36,40,6
2004-09-01,17,31,32,41,42,43,4
2004-09-04,1,3,4,11,19,40,4
2004-09-08,3,9,20,38,39,45,2
2004-09-11,6,10,12,16,17,31,9
2004-09-15,1,26,27,28,29,31,6
2004-09-18,1,5,17,22,26,41,0
2004-09-22,2,6,12,14,28,40,4
2004-09-25,5,7,28,33,39,42,2
2004-09-29,1,14,28,29,43,45,1
2004-10-02,11,19,28,29,42,45,5
2004-10-06,9,23,29,37,39,43,0
2004-10-09,11,15,21,22,27,47,9
2004-10-13,11,12,13,20,32,42,8
2004-10-16,6,7,21,23,28,29,7
2004-10-20,6,7,10,18,35,43,3
2004-10-23,26,29,32,34,40,48,7
2004-10-27,7,27,29,31,37,38,3
2004-10-30,10,27,30,39,40,47,7
2004-11-03,5,8,15,22,35,48,5
2004-11-06,16,24,33,36,45,47,9
2004-11-10,7,8,19,25,28,45,4
2004-11-13,5,27,41,42,43,46,9
2004-11-17,5,15,17,24,26,43,9
2004-11-20,7,18,19,33,46,49,6
2004-11-24,7,8,31,35,36,49,5
2004-11-27,18,27,36,39,41,47,0
2004-12-01,3,10,13,28,38,45,2
2004-12-04,2,8,17,36,38,40,1
2004-12-08,4,14,15,25,30,32,3
2004-12-11,3,7,9,33,35,42,2
2004-12-15,6,13,19,34,45,48,9
2004-12-18,1,10,12,16,22,30,9
2004-12-22,5,15,16,19,20,43,0
2004-12-25,9,13,22,41,47,48,6
2004-12-29,4,5,25,26,28,39,7
2005-01-01,2,21,22,27,36,44,2
2005-01-05,1,11,20,24,26,41,8
2005-01-08,2,5,14,35,39,42,8
2005-01-12,3,5,6,10,30,45,3
2005-01-15,6,17,28,37,41,45,3
2005-01-19,7,8,14,36,39,45,3
2005-01-22,2,4,23,35,39,47,9
2005-01-26,4,24,32,36,42,45,0
2005-01-29,9,14,21,23,28,36,4
2005-02-02,6,22,26,30,36,44,1
2005-02-05,7,11,17,18,21,42,8
2005-02-09,10,15,19,39,44,46,3
2005-02-12,16,27,31,33,36,41,1
2005-02-16,1,6,10,19,22,46,1
2005-02-19,9,26,36,41,42,45,6
2005-02-23,20,34,37,38,39,45,5
2005-02-26,1,7,16,23,25,37,0
2005-03-02,9,24,25,27,35,39,0
2005-03-05,5,8,16,26,43,47,2
2005-03-09,7,16,27,33,35,44,0
2005-03-12,2,3,6,20,24,39,5
2005-03-16,4,6,16,29,33,40,5
2005-03-19,4,5,7,9,48,49,3
2005-03-23,18,21,32,33,45,48,1
2005-03-26,2,7,21,34,35,48,6
2005-03-30,1,3,7,14,40,46,9
2005-04-02,5,8,18,37,43,49,6
2005-04-06,6,14,28,32,43,47,8
2005-04-09,11,29,30,32,39,40,5
2005-04-13,15,22,26,28,36,42,2
2005-04-16,1,18,19,24,26,36,7
2005-04-20,6,9,16,20,25,43,9
2005-04-23,4,7,13,21,37,49,9
2005-04-27,5,6,18,27,41,48,1
2005-04-30,8,18,22,31,34,48,3
2005-05-04,3,7,21,24,30,39,0
2005-05-07,6,9,25,29,38,43,4
2005-05-11,2,18,22,46,47,49,6
2005-05-14,14,25,30,35,37,38,6
2005-05-18,1,18,20,26,27,44,2
2005-05-21,2,21,37,40,41,49,4
2005-05-25,22,23,33,43,47,49,0
2005-05-28,6,7,28,29,34,43,5
2005-06-01,2,15,29,32,33,39,2
2005-06-04,1,6,19,25,43,47,8
2005-06-08,6,10,23,25,45,49,7
2005-06-11,9,13,18,24,29,30,8
2005-06-15,11,12,14,18,31,32,3
2005-06-18,8,18,26,27,28,49,9
2005-06-22,5,33,40,41,44,48,5
2005-06-25,5,17,20,21,24,40,9
2005-06-29,7,16,18,25,26,41,1
2005-07-02,1,12,17,29,40,41,4
2005-07-06,11,16,29,35,38,47,8
2005-07-09,4,5,27,40,42,48,3
2005-07-13,10,14,18,24,39,47,9
2005-07-16,1,25,30,31,42,49,1
2005-07-20,4,10,19,25,33,43,3
2005-07-23,2,14,37,45,46,47,9
2005-07-27,15,16,25,27,38,47,8
2005-07-30,12,19,22,42,43,45,1
2005-08-03,4,7,10,12,24,33,7
2005-08-06,1,7,23,24,33,42,5
2005-08-10,8,9,16,20,35,45,1
2005-08-13,10,25,26,34,35,44,4
2005-08-17,9,10,16,22,23,45,0
2005-08-20,1,2,17,18,22,40,5
2005-08-24,7,11,22,38,43,49,8
2005-08-27,1,9,23,38,42,47,7
2005-08-31,1,8,12,15,24,29,3
2005-09-03,5,20,24,41,46,49,8
2005-09-07,2,6,7,20,24,33,8
2005-09-10,17,19,27,31,37,48,1
2005-09-14,10,22,26,35,41,47,4
2005-09-17,8,16,17,28,29,43,9
2005-09-21,14,22,28,36,38,46,8
2005-09-24,9,23,25,26,40,48,9
2005-09-28,11,25,28,32,37,44,7
2005-10-01,9,14,20,37,44,47,0
2005-10-05,11,19,23,30,36,47,0
2005-10-08,5,6,14,25,43,49,8
2005-10-12,2,3,10,35,36,41,7
2005-10-15,3,9,15,36,40,43,8
2005-10-19,1,23,24,26,30,35,3
2005-10-22,4,9,11,26,31,47,2
2005-10-26,9,19,21,24,34,35,7
2005-10-29,2,5,11,18,30,31,4
2005-11-02,13,14,16,17,25,27,0
2005-11-05,5,7,29,40,46,47,1
2005-11-09,4,19,26,30,46,47,0
2005-11-12,12,16,28,33,36,40,8
2005-11-16,2,16,17,23,27,38,0
2005-11-19,1,4,30,38,40,49,7
2005-11-23,15,18,24,45,47,49,4
2005-11-26,5,12,21,32,34,40,4
2005-11-30,20,22,25,35,40,46,2
2005-12-03,2,6,17,36,47,49,3
2005-12-07,7,28,29,34,35,47,0
2005-12-10,2,7,28,30,33,46,6
2005-12-14,16,25,39,40,41,49,7
2005-12-17,3,9,10,22,41,42,8
2005-12-21,9,18,24,26,30,34,1
2005-12-24,8,19,24,30,36,38,0
2005-12-28,7,11,36,40,41,49,7
2005-12-31,13,21,35,36,42,44,3
2006-01-04,5,11,12,13,20,41,7
2006-01-07,3,17,19,21,26,31,5
2006-01-11,1,4,5,16,19,26,3
2006-01-14,10,14,19,27,31,39,0
2006-01-18,12,13,14,18,27,44,7
2006-01-21,6,17,20,27,35,39,4
2006-01-25,4,13,17,23,36,49,0
2006-01-28,5,33,37,38,40,49,3
2006-02-01,7,13,22,23,35,38,6
2006-02-04,26,27,28,35,39,43,4
2006-02-08,1,5,6,12,29,34,1
2006-02-11,1,10,14,26,45,49,8
2006-02-15,11,17,19,20,26,30,3
2006-02-18,4,5,6,18,21,40,7
2006-02-22,6,7,14,15,30,48,5
2006-02-25,9,10,17,18,21,36,5
2006-03-01,2,19,22,37,41,48,9
2006-03-04,7,11,17,23,36,37,5
2006-03-08,4,9,15,19,30,33,8
2006-03-11,3,9,12,36,46,48,8
2006-03-15,1,3,9,10,14,38,2
2006-03-18,5,9,17,38,43,47,3
2006-03-22,3,4,9,19,24,40,3
2006-03-25,3,10,12,21,28,32,3
2006-03-29,3,10,16,17,26,30,3
2006-04-01,4,6,21,25,35,39,3
2006-04-05,9,21,27,30,32,46,1
2006-04-08,3,10,17,25,44,46,7
2006-04-12,15,20,23,46,47,48,9
2006-04-15,2,4,5,8,18,40,7
2006-04-19,11,13,18,32,41,47,4
2006-04-22,3,9,24,35,39,44,5
2006-04-26,12,16,17,31,34,43,7
2006-04-29,12,22,25,37,38,48,1
2006-05-03,5,10,18,23,35,44,7
2006-05-06,5,15,26,28,31,37,8
2006-05-10,6,24,33,35,39,47,4
2006-05-13,9,12,26,27,40,45,1
2006-05-17,1,22,31,35,40,45,3
2006-05-20,10,19,25,40,42,49,7
2006-05-24,2,17,21,31,45,47,8
2006-05-27,14,22,29,30,35,43,4
2006-05-31,11,26,33,45,48,49,4
2006-06-03,1,3,10,17,24,49,8
2006-06-07,1,7,23,29,34,45,4
2006-06-10,13,19,20,25,29,44,3
2006-06-14,5,7,12,17,29,45,4
2006-06-17,10,31,40,41,45,49,9
2006-06-21,18,19,34,43,45,48,3
2006-06-24,5,13,22,30,47,48,3
2006-06-28,4,6,8,14,41,42,1
2006-07-01,6,12,18,25,27,35,3
2006-07-05,7,10,19,32,34,41,9
2006-07-08,9,24,28,30,31,49,6
2006-07-12,6,22,27,34,35,43,5
2006-07-15,5,25,28,30,40,41,0
2006-07-19,5,25,31,44,46,47,0
2006-07-22,3,5,25,31,37,41,8
2006-07-26,4,11,18,20,30,49,5
2006-07-29,13,17,21,25,34,48,0
2006-08-02,16,20,23,28,40,43,1
2006-08-05,1,7,9,12,43,46,6
2006-08-09,4,29,30,33,36,39,5
2006-08-12,1,5,14,32,42,48,2
2006-08-16,2,19,30,32,41,48,2
2006-08-19,4,5,8,24,33,43,4
2006-08-23,2,9,12,28,30,38,0
2006-08-26,1,4,20,24,25,39,8
2006-08-30,21,22,25,37,45,48,1
2006-09-02,6,34,36,38,46,48,0
2006-09-06,3,5,25,38,39,40,2
2006-09-09,2,13,23,42,43,47,1
2006-09-13,10,14,17,22,31,39,5
2006-09-16,5,7,9,16,17,47,5
2006-09-20,1,3,15,22,24,36,3
2006-09-23,3,14,31,35,38,48,3
2006-09-27,13,20,27,33,38,45,6
2006-09-30,10,17,27,35,42,46,2
2006-10-04,6,8,12,33,38,42,6
2006-10-07,28,30,31,34,41,48,4
2006-10-11,19,26,30,40,43,45,4
2006-10-14,6,7,30,33,34,39,6
2006-10-18,1,8,25,36,37,40,3
2006-10-21,1,17,21,24,39,47,8
2006-10-25,11,12,30,32,33,46,3
